text;category
хочу купить машину но не знаю какую марку выбрать чтобы она была надежной и экономичной;Покупка автомобиля
хочу приобрести авто но у меня нет кредитной истории;Покупка автомобиля
интересует цена на авто какие есть варианты с дизельным двигателем;Покупка автомобиля
хочу купить авто какие есть скидки на автомобили в конце месяца;Покупка автомобиля
хочу купить какие условия кредитования для молодых семей;Покупка автомобиля
интересует какие есть варианты автомобилей с автоматической коробкой передач;Покупка автомобиля
хочу купить новую машину в кредит какие условия;Покупка автомобиля
интересует цена на новую ладу гранта;Покупка автомобиля
хочу купить машину в рассрочку без первоначального взноса;Покупка автомобиля
интересует новая киа рио какие цвета есть в наличии;Покупка автомобиля
хочу купить машину в лизинг какие условия;Покупка автомобиля
интересует новая киа спортейдж;Покупка автомобиля
хочу купить машину в кредит;Покупка автомобиля
интересует новая шевроле нива;Покупка автомобиля
хочу купить автомобиль в лизинг;Покупка автомобиля
хочу купить новую машину какие есть варианты с дизельным двигателем;Покупка автомобиля
хочу купить авто с пробегом какие есть гарантии на двигатель;Покупка автомобиля
записаться на техосмотр;Сервис и обслуживание автомобиля
машина не заводится что делать;Сервис и обслуживание автомобиля
нужна диагностика двигателя;Сервис и обслуживание автомобиля
машина глохнет на ходу;Сервис и обслуживание автомобиля
замена масла и фильтров;Сервис и обслуживание автомобиля
ремонт ходовой части;Сервис и обслуживание автомобиля
замена тормозных колодок;Сервис и обслуживание автомобиля
диагностика коробки передач;Сервис и обслуживание автомобиля
ремонт двигателя после дтп;Сервис и обслуживание автомобиля
замена ремня грм;Сервис и обслуживание автомобиля
это автосервис;Сервис и обслуживание автомобиля
ремонт электрооборудования;Сервис и обслуживание автомобиля
у меня ошибка двигателя;Сервис и обслуживание автомобиля
замена амортизаторов;Сервис и обслуживание автомобиля
диагностика системы охлаждения;Сервис и обслуживание автомобиля
машина глохнет на ходу в сервис срочно;Сервис и обслуживание автомобиля
замена тормозных колодок сколько времени это займет;Сервис и обслуживание автомобиля
диагностика двигателя есть ли гарантия на ремонт;Сервис и обслуживание автомобиля
ремонт ходовой части сколько стоит замена амортизаторов;Сервис и обслуживание автомобиля
замена ремня грм сколько стоит работа;Сервис и обслуживание автомобиля
ремонт электрооборудования есть ли у вас лицензия;Сервис и обслуживание автомобиля
диагностика системы охлаждения сколько стоит;Сервис и обслуживание автомобиля
замена сцепления сколько стоит с работой;Сервис и обслуживание автомобиля
диагностика подвески сколько стоит;Сервис и обслуживание автомобиля
ремонт рулевой рейки сколько стоит;Сервис и обслуживание автомобиля
замена масла в двигателе сколько стоит;Сервис и обслуживание автомобиля
диагностика электроники сколько стоит;Сервис и обслуживание автомобиля
ремонт коробки передач сколько стоит;Сервис и обслуживание автомобиля
замена фильтров сколько стоит;Сервис и обслуживание автомобиля
диагностика ходовой сколько стоит;Сервис и обслуживание автомобиля
ремонт электроники сколько времени займет;Сервис и обслуживание автомобиля
замена масла сколько стоит;Сервис и обслуживание автомобиля
диагностика сколько стоит;Сервис и обслуживание автомобиля
ремонт сколько стоит;Сервис и обслуживание автомобиля
сколько замена стоит;Сервис и обслуживание автомобиля
машина не заводится что делать помогите срочно!;Сервис и обслуживание автомобиля
машина глохнет на ходу что делать помогите пожалуйста!;Сервис и обслуживание автомобиля
замена тормозных колодок и дисков сколько это будет стоить;Сервис и обслуживание автомобиля
нужно обратиться в сервисный центр;Сервис и обслуживание автомобиля
какая-то ошибка возникла;Сервис и обслуживание автомобиля
и еще куча других ошибок;Сервис и обслуживание автомобиля
с коробкой проблема;Сервис и обслуживание автомобиля
проблема с машиной у меня;Сервис и обслуживание автомобиля
соедините с сервисом;Сервис и обслуживание автомобиля
хочу записаться в сервис и обслуживание автомобиля;Сервис и обслуживание автомобиля
на обслуживание автомобиля записаться надо;Сервис и обслуживание автомобиля
интересует стоимость автокредита;Финансовые вопросы
какая процентная ставка по автокредиту;Финансовые вопросы
предлагаете ли вы страховку;Финансовые вопросы
какие условия лизинга;Финансовые вопросы
хочу оформить кредит на машину;Финансовые вопросы
какие документы нужны для кредита;Финансовые вопросы
какая переплата по кредиту;Финансовые вопросы
какой ежемесячный платеж по кредиту;Финансовые вопросы
хочу застраховать автомобиль;Финансовые вопросы
какие условия страхования;Финансовые вопросы
какой процент по автокредиту;Финансовые вопросы
хочу оформить каско;Финансовые вопросы
какая сумма первоначального взноса;Финансовые вопросы
какие есть программы лояльности;Финансовые вопросы
хочу узнать о кредитных программах;Финансовые вопросы
какие условия страхования КАСКО;Финансовые вопросы
какая будет переплата по лизингу;Финансовые вопросы
какие документы нужны для лизинга;Финансовые вопросы
какой срок кредитования;Финансовые вопросы
какая будет ежемесячная плата;Финансовые вопросы
хочу оформить страховку на автомобиль;Финансовые вопросы
хочу узнать о кредитных программах для молодых семей;Финансовые вопросы
какие условия страхования ОСАГО;Финансовые вопросы
какая будет переплата по лизингу если я возьму машину на 3 года;Финансовые вопросы
какие документы нужны для лизинга автомобиля;Финансовые вопросы
какой срок кредитования если я хочу купить машину в лизинг;Финансовые вопросы
какая будет ежемесячная плата по кредиту если я возьму машину в рассрочку;Финансовые вопросы
какие условия лизинга если я ИП;Финансовые вопросы
хочу оформить кредит на автомобиль какие есть требования;Финансовые вопросы
какая переплата по кредиту если я возьму машину в рассрочку на 5 лет;Финансовые вопросы
какой процент по автокредиту если я пенсионер;Финансовые вопросы
хочу застраховать авто от угона;Финансовые вопросы
хочу оформить какие документы;Финансовые вопросы
какая процентная ставка по автокредиту если я работаю официально;Финансовые вопросы
интересует стоимость кредита на автомобиль с первоначальным взносом 50%;Финансовые вопросы
какие условия страхования автомобиля от угона и ущерба;Финансовые вопросы
какой ежемесячный платеж по кредиту если я возьму машину в лизинг на 2 года;Финансовые вопросы
хочу застраховать автомобиль от всех рисков;Финансовые вопросы
какие условия страхования КАСКО если я новичок и у меня стаж вождения меньше года;Финансовые вопросы
какой процент по автокредиту если я получаю зарплату на карту другого банка;Финансовые вопросы
какая сумма первоначального взноса по кредиту если я хочу купить машину стоимостью 1 миллион рублей;Финансовые вопросы
какие есть программы лояльности для клиентов которые покупают автомобили в кредит;Финансовые вопросы
хочу узнать о кредитных программах для военнослужащих;Финансовые вопросы
какие условия страхования ОСАГО если я новичок;Финансовые вопросы
какая будет переплата по лизингу если я возьму машину на 4 года;Финансовые вопросы
какие документы нужны для лизинга автомобиля если я являюсь индивидуальным предпринимателем;Финансовые вопросы
какой срок кредитования если я хочу купить машину в лизинг с минимальным ежемесячным платежом;Финансовые вопросы
какая будет ежемесячная плата по кредиту если я возьму машину в рассрочку с минимальным платежом;Финансовые вопросы
какие условия лизинга если я хочу купить грузовой автомобиль;Финансовые вопросы
хочу оформить кредит на автомобиль какие есть требования к возрасту заемщика;Финансовые вопросы
какая переплата по кредиту если я возьму машину в рассрочку на 6 лет;Финансовые вопросы
какой процент по автокредиту если я получаю пособие по безработице;Финансовые вопросы
хочу застраховать авто от угона и ущерба какие документы нужны;Финансовые вопросы
хочу оформить какие документы нужны для оформления кредита;Финансовые вопросы
какая процентная ставка по автокредиту если я работаю по договору;Финансовые вопросы
интересует стоимость кредита на автомобиль с первоначальным взносом 30%;Финансовые вопросы
какие условия страхования автомобиля от угона и ущерба если я новичок;Финансовые вопросы
какой ежемесячный платеж по кредиту если я возьму машину в лизинг на 3 года;Финансовые вопросы
хочу застраховать автомобиль от всех рисков какие есть франшизы;Финансовые вопросы
какие условия страхования КАСКО если я новичок;Финансовые вопросы
у меня стаж вождения меньше года и я живу в регионе с высоким риском угона;Финансовые вопросы
какой процент по автокредиту если я получаю зарплату в долларах;Финансовые вопросы
какая сумма первоначального взноса по кредиту если я хочу купить машину стоимостью 2 миллиона рублей;Финансовые вопросы
какие есть программы лояльности для клиентов которые покупают автомобили в лизинг;Финансовые вопросы
хочу узнать о кредитных программах для пенсионеров;Финансовые вопросы
какие условия страхования ОСАГО если я новичок и у меня стаж вождения меньше года;Финансовые вопросы
какая будет переплата по лизингу если я возьму машину на 5 лет;Финансовые вопросы
какие документы нужны для лизинга автомобиля если я являюсь самозанятым;Финансовые вопросы
какой срок кредитования если я хочу купить машину в лизинг с минимальным первоначальным взносом;Финансовые вопросы
машину в рассрочку с минимальным платежом и страховкой;Финансовые вопросы
какие условия лизинга если я хочу купить коммерческий автомобиль;Финансовые вопросы
хочу оформить кредит на автомобиль какие есть требования к доходу заемщика;Финансовые вопросы
какая переплата по кредиту если я возьму машину в рассрочку на 7 лет;Финансовые вопросы
какой процент по автокредиту если я получаю пенсию;Финансовые вопросы
хочу застраховать авто от угона и ущерба какие есть условия;Финансовые вопросы
хочу оформить какие документы нужны для оформления лизинга;Финансовые вопросы
какая процентная ставка по автокредиту для пенсионеров;Финансовые вопросы
хочу оформить кредит на машину какие документы нужны;Финансовые вопросы
хочу застраховать автомобиль от угона;Финансовые вопросы
какая процентная ставка по автокредиту если у меня есть кредитная история;Финансовые вопросы
интересует стоимость кредита на автомобиль с первоначальным взносом 40%;Финансовые вопросы
какой ежемесячный платеж по кредиту если я возьму машину в лизинг на 4 года;Финансовые вопросы
хочу застраховать автомобиль от всех рисков какие есть условия;Финансовые вопросы
вы не скажете который сейчас час;Нецелевой звонок
мне нужна служба доставки пиццы;Нецелевой звонок
этот номер не работает;Нецелевой звонок
а где находится ближайшая аптека;Нецелевой звонок
ой я перепутала номер;Нецелевой звонок
опять не туда попал позвонил простите;Нецелевой звонок
не туда попал опять;Нецелевой звонок
ой не туда попали;Нецелевой звонок
как включить отопление в квартире;Нецелевой звонок
у вас есть свободные номера отеля;Нецелевой звонок
алло это ветеринарная клиника;Нецелевой звонок
мне нужно поговорить с учителем;Нецелевой звонок
вы принимаете заказы на ремонт холодильников;Нецелевой звонок
где можно купить билеты в кино;Нецелевой звонок
это служба такси;Нецелевой звонок
как добраться до вокзала;Нецелевой звонок
у вас есть доставка продуктов;Нецелевой звонок
я хочу заказать цветы;Нецелевой звонок
это не тот человек которого я ищу;Нецелевой звонок
алло у вас включен автоответчик;Нецелевой звонок
какой пароль от вайфая;Нецелевой звонок
мне нужно вызвать сантехника;Нецелевой звонок
где найти инструкцию к телевизору;Нецелевой звонок
вы не подскажете адрес кафе;Нецелевой звонок
ой я ошибся номером;Нецелевой звонок
это служба поддержки банка;Нецелевой звонок
как оплатить интернет;Нецелевой звонок
у вас есть свободные места в ресторане;Нецелевой звонок
мне нужно узнать расписание автобусов;Нецелевой звонок
алло это отдел кадров;Нецелевой звонок
где купить новогодние игрушки;Нецелевой звонок
вы не туда соединили;Нецелевой звонок
мтргл фывапролдж эрпа;Нецелевой звонок
шшш... хзчсм гм... трын;Нецелевой звонок
бзззз-рррр-кхкхкх;Нецелевой звонок
аааапчхиии... йййцу;Нецелевой звонок
ммм... нгшщзх ююю;Нецелевой звонок
вввыыы тттррр ллл;Нецелевой звонок
кх-кх-кх пппрррст;Нецелевой звонок
сцсцсц йцйцйц йа;Нецелевой звонок
ээээ... мммм... ага;Нецелевой звонок
рррржжжж ттттт;Нецелевой звонок
ффыр-р-р-пыщщщ;Нецелевой звонок
йййцуукенгшщзхъ;Нецелевой звонок
бррр-пиу-пиу;Нецелевой звонок
шшшш... кхкхкх;Нецелевой звонок
ззззууууммм...;Нецелевой звонок
ввввыыыы... апчхи;Нецелевой звонок
тррр-тррр-бзз;Нецелевой звонок
ппррроооо... ммм;Нецелевой звонок
ссссссууууккк;Нецелевой звонок
йааа-йааа-йааа;Нецелевой звонок
кхкх-шшш-ццц;Нецелевой звонок
ыыыы... ввввыы;Нецелевой звонок
прррст-зззык;Нецелевой звонок
ммм-ррр-ттт;Нецелевой звонок
жжжж... апчхи;Нецелевой звонок
звук разбитого стекла;Нецелевой звонок
фффыррр-бум;Нецелевой звонок
йцукенгшщзхъ;Нецелевой звонок
ааапчхи-кхкх;Нецелевой звонок
шшш-тррр-бзз;Нецелевой звонок
ыыыывууум...;Нецелевой звонок
пррр-ззз-бу;Нецелевой звонок
замена масла в двигателе нужен фильтр MANN;Сервис и обслуживание автомобиля
диагностика двигателя горит чек двигателя;Сервис и обслуживание автомобиля
ремонт коробки передач хруст при переключении;Сервис и обслуживание автомобиля
замена тормозных колодок скрипят тормоза;Сервис и обслуживание автомобиля
ремонт подвески стук в подвеске;Сервис и обслуживание автомобиля
замена ремня ГРМ прошел регламент;Сервис и обслуживание автомобиля
диагностика электрооборудования не работает ABS;Сервис и обслуживание автомобиля
замена радиатора охлаждения течь антифриза;Сервис и обслуживание автомобиля
ремонт выхлопной системы громкий звук выхлопа;Сервис и обслуживание автомобиля
замена стартера не крутит двигатель;Сервис и обслуживание автомобиля
ремонт генератора не заряжает аккумулятор;Сервис и обслуживание автомобиля
замена катушки зажигания пропуски зажигания;Сервис и обслуживание автомобиля
диагностика системы впрыска плавают обороты;Сервис и обслуживание автомобиля
ремонт рулевой рейки люфт в рулевом колесе;Сервис и обслуживание автомобиля
замена шаровых опор износ шаровых;Сервис и обслуживание автомобиля
ремонт турбины свист турбины;Сервис и обслуживание автомобиля
замена воздушного фильтра забитый воздушный фильтр;Сервис и обслуживание автомобиля
замена салонного фильтра неприятный запах в салоне;Сервис и обслуживание автомобиля
ремонт системы кондиционирования не холодит;Сервис и обслуживание автомобиля
замена датчика температуры охлаждающей жидкости перегрев двигателя;Сервис и обслуживание автомобиля
ремонт системы охлаждения течь помпы;Сервис и обслуживание автомобиля
замена свечей зажигания двигатель троит;Сервис и обслуживание автомобиля
диагностровать двигатель ошибка P0172;Сервис и обслуживание автомобиля
ремонт головки блока цилиндров прогар клапана;Сервис и обслуживание автомобиля
замена поршневой группы задиры на поршнях;Сервис и обслуживание автомобиля
ремонт турбокомпрессора масло в интеркулере;Сервис и обслуживание автомобиля
замена топливного насоса двигатель глохнет;Сервис и обслуживание автомобиля
ремонт системы подачи топлива низкое давление топлива;Сервис и обслуживание автомобиля
замена датчика положения коленвала двигатель не заводится;Сервис и обслуживание автомобиля
ремонт системы зажигания нет искры;Сервис и обслуживание автомобиля
замена датчика кислорода повышенный расход топлива;Сервис и обслуживание автомобиля
диагностика двигателя ошибка P0300;Сервис и обслуживание автомобиля
ремонт системы управления двигателем нестабильная работа двигателя;Сервис и обслуживание автомобиля
замена цепи ГРМ пропуск цепи;Сервис и обслуживание автомобиля
ремонт системы тормозов утечка тормозной жидкости;Сервис и обслуживание автомобиля
замена ступичного подшипника гул в колесе;Сервис и обслуживание автомобиля
ремонт системы рулевого управления тяжелый руль;Сервис и обслуживание автомобиля
замена датчика массового расхода воздуха ошибка датчика ДМРВ;Сервис и обслуживание автомобиля
ремонт системы вентиляции не работает вентилятор печки;Сервис и обслуживание автомобиля
замена датчика давления масла низкое давление масла;Сервис и обслуживание автомобиля
двигатель диагностровать ошибка;Сервис и обслуживание автомобиля
